id,admin0_nom,admin1_nom,admin2_nom,Admin3_Nam,annee,homme,femme,source
157,Mali,Koulikouro,Dioila,Jekafo,2009,3241,3400,RGPH
158,Mali,Koulikouro,Dioila,Kaladougou,2009,19429,19742,RGPH
159,Mali,Koulikouro,Dioila,Kemekafo,2009,12253,12181,RGPH
160,Mali,Koulikouro,Dioila,Kerela,2009,6280,6346,RGPH
161,Mali,Koulikouro,Dioila,Kilidougou,2009,7578,7930,RGPH
162,Mali,Koulikouro,Dioila,Massigui,2009,26249,28003,RGPH
163,Mali,Koulikouro,Dioila,Nangola,2009,9169,9436,RGPH
164,Mali,Koulikouro,Dioila,N'dlondougou,2009,10326,10667,RGPH
165,Mali,Koulikouro,Dioila,N'garadougou,2009,7633,7960,RGPH
166,Mali,Koulikouro,Dioila,N'golobougou,2009,10272,10753,RGPH
167,Mali,Koulikouro,Dioila,Niantjila,2009,6837,7466,RGPH
168,Mali,Koulikouro,Dioila,Tenindougou,2009,7681,7725,RGPH
169,Mali,Koulikouro,Dioila,Wacoro,2009,7441,7559,RGPH
170,Mali,Koulikouro,Dioila,Zan Coulibaly,2009,9235,9255,RGPH
171,Mali,Koulikouro,Kangaba,Balan Bakama,2009,3404,3487,RGPH
172,Mali,Koulikouro,Kangaba,Benkadi,2009,4741,4694,RGPH
173,Mali,Koulikouro,Kangaba,Kaniogo,2009,8308,8477,RGPH
174,Mali,Koulikouro,Kangaba,Karan Commune,2009,3134,3242,RGPH
175,Mali,Koulikouro,Kangaba,Maramandougou,2009,7237,7302,RGPH
176,Mali,Koulikouro,Kangaba,Minidian,2009,9012,9113,RGPH
177,Mali,Koulikouro,Kangaba,Narena,2009,6133,6420,RGPH
178,Mali,Koulikouro,Kangaba,Nouga,2009,5429,5628,RGPH
179,Mali,Koulikouro,Kangaba,Selefougou,2009,2304,2333,RGPH
180,Mali,Koulikouro,Kati,Baguineda Camp,2009,26406,25415,RGPH
181,Mali,Koulikouro,Kati,Bancoumana,2009,11836,11741,RGPH
182,Mali,Koulikouro,Kati,Bossofala,2009,8437,8461,RGPH
183,Mali,Koulikouro,Kati,Bougoula,2009,5418,5363,RGPH
184,Mali,Koulikouro,Kati,Daban,2009,5582,5577,RGPH
185,Mali,Koulikouro,Kati,Diago,2009,4687,4725,RGPH
186,Mali,Koulikouro,Kati,Dialakoroba,2009,11533,11302,RGPH
187,Mali,Koulikouro,Kati,Dialakorodji,2009,23836,23650,RGPH
