id,admin0_nom,admin1_nom,admin2_nom,admin3_nom,annee,homme,femme,source
288,Mali,Sikasso,Koutiala,Kapala,1998,4328,4261,RGPH
289,Mali,Sikasso,Koutiala,Karagouana Malle,1998,2830,2882,RGPH
290,Mali,Sikasso,Koutiala,Kolonigue,1998,7296,7385,RGPH
291,Mali,Sikasso,Koutiala,Konina,1998,4850,4766,RGPH
292,Mali,Sikasso,Koutiala,Koningue,1998,5222,5231,RGPH
293,Mali,Sikasso,Koutiala,Konseguela,1998,10258,10661,RGPH
294,Mali,Sikasso,Koutiala,Koromo,1998,2181,2237,RGPH
295,Mali,Sikasso,Koutiala,Kouniana,1998,1111,1075,RGPH
296,Mali,Sikasso,Koutiala,Koutiala Commune,1998,39152,37762,RGPH
297,Mali,Sikasso,Koutiala,Logouana,1998,2603,2928,RGPH
298,Mali,Sikasso,Koutiala,Miena,1998,5214,5609,RGPH
299,Mali,Sikasso,Koutiala,M'pessoba,1998,14255,14999,RGPH
300,Mali,Sikasso,Koutiala,Nafanga,1998,3097,3051,RGPH
301,Mali,Sikasso,Koutiala,Nampe,1998,2851,2852,RGPH
302,Mali,Sikasso,Koutiala,N'golonianasso,1998,6344,6651,RGPH
303,Mali,Sikasso,Koutiala,N'goutjina,1998,3809,4008,RGPH
304,Mali,Sikasso,Koutiala,N'tossoni,1998,2609,2817,RGPH
305,Mali,Sikasso,Koutiala,Sincina,1998,5310,5335,RGPH
306,Mali,Sikasso,Koutiala,Sinkolo,1998,3696,3699,RGPH
307,Mali,Sikasso,Koutiala,Songo Doubacoro,1998,4522,4700,RGPH
308,Mali,Sikasso,Koutiala,Songoua,1998,2521,2596,RGPH
309,Mali,Sikasso,Koutiala,Sorobasso,1998,2036,2079,RGPH
310,Mali,Sikasso,Koutiala,Tao,1998,2293,2394,RGPH
311,Mali,Sikasso,Koutiala,Yognogo,1998,1942,1953,RGPH
312,Mali,Sikasso,Koutiala,Zanfigue,1998,5288,5283,RGPH
313,Mali,Sikasso,Koutiala,Zangasso,1998,6704,6759,RGPH
314,Mali,Sikasso,Koutiala,Zanina,1998,2909,2915,RGPH
315,Mali,Sikasso,Koutiala,Zebala,1998,7280,7574,RGPH
316,Mali,Sikasso,Bougouni,Bladie-Tiemala,1998,966,1059,RGPH
317,Mali,Sikasso,Bougouni,Bougouni Commune,1998,19007,18353,RGPH
318,Mali,Sikasso,Bougouni,Danou,1998,4839,5219,RGPH
319,Mali,Sikasso,Bougouni,Debelin,1998,2551,2584,RGPH
320,Mali,Sikasso,Bougouni,Defina,1998,3381,3782,RGPH
321,Mali,Sikasso,Bougouni,Dogo,1998,12534,13033,RGPH
322,Mali,Sikasso,Bougouni,Domba,1998,4479,4468,RGPH
323,Mali,Sikasso,Bougouni,Faradiele,1998,1084,1136,RGPH
324,Mali,Sikasso,Bougouni,Faragouaran,1998,3867,4093,RGPH
325,Mali,Sikasso,Bougouni,Garalo,1998,9906,10488,RGPH
326,Mali,Sikasso,Bougouni,Keleya,1998,8655,8911,RGPH
327,Mali,Sikasso,Bougouni,Kokele,1998,2496,2553,RGPH
328,Mali,Sikasso,Bougouni,Kola,1998,1363,1361,RGPH
329,Mali,Sikasso,Bougouni,Koumantou,1998,16714,17273,RGPH
330,Mali,Sikasso,Bougouni,Kouroulamini,1998,2192,2407,RGPH
331,Mali,Sikasso,Bougouni,Meridiela,1998,4516,4621,RGPH
332,Mali,Sikasso,Bougouni,Ouroun,1998,2107,2158,RGPH
333,Mali,Sikasso,Bougouni,Sanso,1998,5481,5459,RGPH
334,Mali,Sikasso,Bougouni,Sibirila,1998,8435,8882,RGPH
335,Mali,Sikasso,Bougouni,Sido,1998,6297,6624,RGPH
336,Mali,Sikasso,Bougouni,Tiemala Banimonotie,1998,5727,5790,RGPH
337,Mali,Sikasso,Bougouni,Wola,1998,4689,4568,RGPH
338,Mali,Sikasso,Bougouni,Yinindougou,1998,2184,2286,RGPH
339,Mali,Sikasso,Bougouni,Yiridougou,1998,3239,3621,RGPH
340,Mali,Sikasso,Bougouni,Zantiebougou,1998,11509,11918,RGPH
341,Mali,Sikasso,Sikasso,Benkadi,1998,2953,2968,RGPH
342,Mali,Sikasso,Sikasso,Blendio,1998,5035,5295,RGPH
343,Mali,Sikasso,Sikasso,Danderesso,1998,13130,13135,RGPH
344,Mali,Sikasso,Sikasso,Dembela,1998,5105,5083,RGPH
345,Mali,Sikasso,Sikasso,Dialakoro,1998,1824,2043,RGPH
346,Mali,Sikasso,Sikasso,Diomatene,1998,1491,1558,RGPH
347,Mali,Sikasso,Sikasso,Dogoni,1998,4958,5269,RGPH
348,Mali,Sikasso,Sikasso,Doumanaba,1998,5022,5560,RGPH
349,Mali,Sikasso,Sikasso,Fama,1998,3478,3658,RGPH
350,Mali,Sikasso,Sikasso,Farakala,1998,2765,3244,RGPH
351,Mali,Sikasso,Sikasso,Finkolo,1998,5067,5039,RGPH
352,Mali,Sikasso,Sikasso,Finkolo Ganadougou,1998,6066,6023,RGPH
353,Mali,Sikasso,Sikasso,Gongasso,1998,3140,3447,RGPH
354,Mali,Sikasso,Sikasso,Kabarasso,1998,3053,3308,RGPH
355,Mali,Sikasso,Sikasso,Kaboila,1998,10165,10903,RGPH
356,Mali,Sikasso,Sikasso,Kafouziela,1998,2274,2437,RGPH
357,Mali,Sikasso,Sikasso,Kapala,1998,2645,2569,RGPH
358,Mali,Sikasso,Sikasso,Kapolondougou,1998,5593,6003,RGPH
359,Mali,Sikasso,Sikasso,Kignan,1998,9714,9399,RGPH
360,Mali,Sikasso,Sikasso,Klela,1998,9501,9766,RGPH
361,Mali,Sikasso,Sikasso,Kofan,1998,3892,4372,RGPH
362,Mali,Sikasso,Sikasso,Kolokoba,1998,2785,3234,RGPH
363,Mali,Sikasso,Sikasso,Koumankou,1998,2782,2827,RGPH
364,Mali,Sikasso,Sikasso,Kouoro,1998,5548,5234,RGPH
365,Mali,Sikasso,Sikasso,Kourouma,1998,4927,5215,RGPH
