id,admin0_nom,admin1_nom,admin2_nom,admin3_nom,homme_1998,homme_2009,femme_1998,femme_2009,source
177,Mali,Koulikouro,Kangaba,Narena,4381,6133,4494,6420,RGPH
178,Mali,Koulikouro,Kangaba,Nouga,4207,5429,4281,5628,RGPH
179,Mali,Koulikouro,Kangaba,Selefougou,2231,2304,2241,2333,RGPH
180,Mali,Koulikouro,Kati,Baguineda Camp,14388,26406,13983,25415,RGPH
181,Mali,Koulikouro,Kati,Bancoumana,9539,11836,9599,11741,RGPH
182,Mali,Koulikouro,Kati,Bossofala,7931,8437,7726,8461,RGPH
183,Mali,Koulikouro,Kati,Bougoula,4058,5418,4136,5363,RGPH
184,Mali,Koulikouro,Kati,Daban,4342,5582,4279,5577,RGPH
185,Mali,Koulikouro,Kati,Diago,3002,4687,3008,4725,RGPH
186,Mali,Koulikouro,Kati,Dialakoroba,8314,11533,8386,11302,RGPH
187,Mali,Koulikouro,Kati,Dialakorodji,6386,23836,6552,23650,RGPH
188,Mali,Koulikouro,Kati,Diedougou,4214,5140,4410,5372,RGPH
189,Mali,Koulikouro,Kati,Dio Gare,4147,6219,4239,6523,RGPH
190,Mali,Koulikouro,Kati,Dogodouman,2129,5909,2147,5875,RGPH
191,Mali,Koulikouro,Kati,Dombila,5128,6561,5091,6891,RGPH
192,Mali,Koulikouro,Kati,Doubabougou,3007,4869,3148,4986,RGPH
193,Mali,Koulikouro,Kati,Kalabancoro,17982,81018,17600,80864,RGPH
194,Mali,Koulikouro,Kati,Kalifabougou,5513,5587,5588,6034,RGPH
195,Mali,Koulikouro,Kati,Kambila,4884,7599,4900,7766,RGPH
196,Mali,Koulikouro,Kati,Kati Commune,25700,41982,27014,42518,RGPH
197,Mali,Koulikouro,Kati,Kourouba,2488,2885,2472,2944,RGPH
198,Mali,Koulikouro,Kati,Mande,15470,28734,15107,28615,RGPH
199,Mali,Koulikouro,Kati,Moribabougou,2638,13457,2739,13602,RGPH
200,Mali,Koulikouro,Kati,Mountougoula,5127,7996,5131,8232,RGPH
201,Mali,Koulikouro,Kati,N'gabacoro,3120,9254,2875,9009,RGPH
202,Mali,Koulikouro,Kati,N'gouraba,6279,8842,6140,8853,RGPH
203,Mali,Koulikouro,Kati,Niagadina,4186,5056,4312,5386,RGPH
204,Mali,Koulikouro,Kati,Nioumakana,3045,4075,3199,4351,RGPH
205,Mali,Koulikouro,Kati,N'tjiba,8608,10653,8664,11139,RGPH
206,Mali,Koulikouro,Kati,Ouelessebougou,18057,24694,18141,25345,RGPH
207,Mali,Koulikouro,Kati,Safo,3916,7443,4007,7238,RGPH
208,Mali,Koulikouro,Kati,Sanankoro Djitoumou,11165,6594,11086,6733,RGPH
209,Mali,Koulikouro,Kati,Sanankoroba,5012,18718,5130,18643,RGPH
210,Mali,Koulikouro,Kati,Sangarebougou,4026,24021,4020,23171,RGPH
211,Mali,Koulikouro,Kati,Siby,9033,12140,9117,12115,RGPH
212,Mali,Koulikouro,Kati,Sobra,3359,4817,3497,4987,RGPH
213,Mali,Koulikouro,Kati,Tiakadougou Dialakoro,2673,3819,2696,3879,RGPH
214,Mali,Koulikouro,Kati,Tiele,7419,9088,7452,9406,RGPH
215,Mali,Koulikouro,Kati,Yelekebougou,5242,6228,5126,6552,RGPH
216,Mali,Koulikouro,Banamba,Ben Kadi,5855,4554,5935,4518,RGPH
217,Mali,Koulikouro,Kolokani,Didieni,12348,16145,13073,16949,RGPH
218,Mali,Koulikouro,Kolokani,Guihoyo,7313,10536,7604,10995,RGPH
219,Mali,Koulikouro,Kolokani,Kolokani,16332,21592,17226,22628,RGPH
220,Mali,Koulikouro,Kolokani,Massantola,14148,17380,14953,17983,RGPH
221,Mali,Koulikouro,Kolokani,Nonkon,7157,8834,7586,9297,RGPH
222,Mali,Koulikouro,Kolokani,Nossombougou,8480,10105,8893,10640,RGPH
223,Mali,Koulikouro,Kolokani,Ouolodo,4522,4923,4806,5039,RGPH
224,Mali,Koulikouro,Kolokani,Sagabala,7394,8616,7864,9091,RGPH
225,Mali,Koulikouro,Kolokani,Sebecoro 1,7279,9322,7774,9723,RGPH
226,Mali,Koulikouro,Kolokani,Tioribougou,4913,6203,5240,6499,RGPH
227,Mali,Koulikouro,Nara,Allahina,3943,5574,4178,6018,RGPH
228,Mali,Koulikouro,Nara,Dabo,3225,5531,3416,6093,RGPH
229,Mali,Koulikouro,Nara,Dilly,14802,19296,13880,19153,RGPH
230,Mali,Koulikouro,Nara,Dogofry,11591,16892,12786,17763,RGPH
231,Mali,Koulikouro,Nara,Fallou,10329,14841,11148,15194,RGPH
232,Mali,Koulikouro,Nara,Gueneibe,3046,4421,3211,4330,RGPH
233,Mali,Koulikouro,Nara,Guire,4862,10037,4712,9838,RGPH
234,Mali,Koulikouro,Nara,Koronga,3996,5535,3921,5476,RGPH
235,Mali,Koulikouro,Nara,Nara,9572,14581,10221,15021,RGPH
236,Mali,Koulikouro,Nara,Niamana,10483,13830,10722,14250,RGPH
237,Mali,Koulikouro,Nara,Ouagadou,6241,8902,6498,9328,RGPH
238,Mali,Sikasso,Kadiolo,Diou,1386,1744,1442,1760,RGPH
239,Mali,Sikasso,Kadiolo,Dioumatene,3319,4497,3301,4645,RGPH
240,Mali,Sikasso,Kadiolo,Fourou,10797,21937,10492,19606,RGPH
241,Mali,Sikasso,Kadiolo,Kadiolo,15398,25394,15894,26622,RGPH
242,Mali,Sikasso,Kadiolo,Kai,3313,3839,3643,4346,RGPH
243,Mali,Sikasso,Kadiolo,Loulouni,13722,19863,14396,21223,RGPH
244,Mali,Sikasso,Kadiolo,Misseni,6148,28443,6528,19230,RGPH
245,Mali,Sikasso,Kadiolo,Nimbougou,2256,4001,2349,4422,RGPH
246,Mali,Sikasso,Kadiolo,Zegoua,6838,16480,7138,16638,RGPH
