source,adm0_pcode,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,adm3_pcode,adm3_name,homme,femme
RGPH,ML,Mali,ML02,Koulikouro,ML0205,Kolokani,ML020502,Guihoyo,10536,10995
RGPH,ML,Mali,ML02,Koulikouro,ML0205,Kolokani,ML020503,Kolokani,21592,22628
RGPH,ML,Mali,ML02,Koulikouro,ML0205,Kolokani,ML020504,Massantola,17380,17983
RGPH,ML,Mali,ML02,Koulikouro,ML0205,Kolokani,ML020505,Nonkon,8834,9297
RGPH,ML,Mali,ML02,Koulikouro,ML0205,Kolokani,ML020506,Nossombougou,10105,10640
RGPH,ML,Mali,ML02,Koulikouro,ML0205,Kolokani,ML020507,Ouolodo,4923,5039
RGPH,ML,Mali,ML02,Koulikouro,ML0205,Kolokani,ML020508,Sagabala,8616,9091
RGPH,ML,Mali,ML02,Koulikouro,ML0205,Kolokani,ML020509,Sebecoro 1,9322,9723
RGPH,ML,Mali,ML02,Koulikouro,ML0205,Kolokani,ML020510,Tioribougou,6203,6499
RGPH,ML,Mali,ML02,Koulikouro,ML0207,Nara,ML020701,Allahina,5574,6018
RGPH,ML,Mali,ML02,Koulikouro,ML0207,Nara,ML020702,Dabo,5531,6093
RGPH,ML,Mali,ML02,Koulikouro,ML0207,Nara,ML020703,Dilly,19296,19153
RGPH,ML,Mali,ML02,Koulikouro,ML0207,Nara,ML020704,Dogofry,16892,17763
RGPH,ML,Mali,ML02,Koulikouro,ML0207,Nara,ML020705,Fallou,14841,15194
RGPH,ML,Mali,ML02,Koulikouro,ML0207,Nara,ML020706,Gueneibe,4421,4330
RGPH,ML,Mali,ML02,Koulikouro,ML0207,Nara,ML020707,Guire,10037,9838
RGPH,ML,Mali,ML02,Koulikouro,ML0207,Nara,ML020708,Koronga,5535,5476
RGPH,ML,Mali,ML02,Koulikouro,ML0207,Nara,ML020709,Nara,14581,15021
RGPH,ML,Mali,ML02,Koulikouro,ML0207,Nara,ML020710,Niamana,13830,14250
RGPH,ML,Mali,ML02,Koulikouro,ML0207,Nara,ML020711,Ouagadou,8902,9328
RGPH,ML,Mali,ML03,Sikasso,ML0302,Kadiolo,ML030201,Diou,1744,1760
RGPH,ML,Mali,ML03,Sikasso,ML0302,Kadiolo,ML030202,Dioumatene,4497,4645
RGPH,ML,Mali,ML03,Sikasso,ML0302,Kadiolo,ML030203,Fourou,21937,19606
