annee,id,groupage,sexe,milieu,population,source,office
1987,12,55-59,Femme,Rural,71978,RGPH,DNSI
1987,13,60-64,Femme,Rural,76682,RGPH,DNSI
1987,14,65-69,Femme,Rural,46441,RGPH,DNSI
1987,15,70-74,Femme,Rural,35086,RGPH,DNSI
1987,16,75-79,Femme,Rural,17013,RGPH,DNSI
1987,17,80+,Femme,Rural,23074,RGPH,DNSI
1987,99,ND,Femme,Rural,NA,RGPH,DNSI
1987,18,Total,Femme,Rural,3082636,RGPH,DNSI
1998,1,0-4,Femme,Rural,629546,RGPH,DNSI
1998,2,5-9,Femme,Rural,605560,RGPH,DNSI
1998,3,10-14,Femme,Rural,419367,RGPH,DNSI
1998,4,15-19,Femme,Rural,363935,RGPH,DNSI
1998,5,20-24,Femme,Rural,285947,RGPH,DNSI
1998,6,25-29,Femme,Rural,252702,RGPH,DNSI
1998,7,30-34,Femme,Rural,222797,RGPH,DNSI
1998,8,35-39,Femme,Rural,181699,RGPH,DNSI
1998,9,40-44,Femme,Rural,154577,RGPH,DNSI
1998,10,45-49,Femme,Rural,113564,RGPH,DNSI
1998,11,50-54,Femme,Rural,109785,RGPH,DNSI
1998,12,55-59,Femme,Rural,74394,RGPH,DNSI
1998,13,60-64,Femme,Rural,78597,RGPH,DNSI
1998,14,65-69,Femme,Rural,46546,RGPH,DNSI
1998,15,70-74,Femme,Rural,40982,RGPH,DNSI
1998,16,75-79,Femme,Rural,19607,RGPH,DNSI
1998,17,80+,Femme,Rural,18327,RGPH,DNSI
1998,99,ND,Femme,Rural,16747,RGPH,DNSI
1998,18,Total,Femme,Rural,3634679,RGPH,DNSI
2009,1,0-4,Femme,Rural,1070032,RGPH,DNSI
2009,2,5-9,Femme,Rural,957582,RGPH,DNSI
2009,3,10-14,Femme,Rural,680741,RGPH,DNSI
2009,4,15-19,Femme,Rural,562531,RGPH,DNSI
2009,5,20-24,Femme,Rural,452704,RGPH,DNSI
2009,6,25-29,Femme,Rural,420020,RGPH,DNSI
2009,7,30-34,Femme,Rural,337699,RGPH,DNSI
2009,8,35-39,Femme,Rural,257576,RGPH,DNSI
2009,9,40-44,Femme,Rural,221492,RGPH,DNSI
2009,10,45-49,Femme,Rural,174540,RGPH,DNSI
2009,11,50-54,Femme,Rural,158666,RGPH,DNSI
2009,12,55-59,Femme,Rural,110498,RGPH,DNSI
2009,13,60-64,Femme,Rural,103064,RGPH,DNSI
2009,14,65-69,Femme,Rural,63963,RGPH,DNSI
2009,15,70-74,Femme,Rural,55057,RGPH,DNSI
2009,16,75-79,Femme,Rural,30295,RGPH,DNSI
2009,17,80+,Femme,Rural,36156,RGPH,DNSI
2009,99,ND,Femme,Rural,0,RGPH,DNSI
2009,18,Total,Femme,Rural,5692616,RGPH,DNSI
