Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,homme,femme,total,source
Mali,ML,Kayes,ML01,Yelimane,ML0107,Gory,ML010704,2009,6131,6470,12601,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Guidime,ML010705,2009,19403,20420,39823,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Kirane Kaniaga,ML010706,2009,16863,18034,34897,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Kremis,ML010708,2009,5473,5571,11044,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Marekaffo,ML010709,2009,2501,2823,5324,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Soumpou,ML010710,2009,2364,2489,4853,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Toya,ML010711,2009,5953,6691,12644,RGPH
Mali,ML,Kayes,ML01,Yelimane,ML0107,Tringa,ML010712,2009,5966,6576,12542,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Dinandougou,ML020601,2009,10571,10789,21360,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Doumba,ML020602,2009,3695,3768,7463,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Koula,ML020603,2009,11662,11786,23448,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Koulikoro Commune,ML020604,2009,20943,20659,41602,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Meguetan,ML020605,2009,12889,12504,25393,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Nyamina,ML020606,2009,17904,17881,35785,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Sirakorola,ML020607,2009,18038,17954,35992,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Tienfala,ML020608,2009,3514,3474,6988,RGPH
Mali,ML,Koulikouro,ML02,Koulikoro,ML0206,Tougouni,ML020609,2009,6315,6265,12580,RGPH
