Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,female,male,total,source
Mali,ML,Mopti,ML05,Youwarou,ML0508,Dongo,ML050804,2017,7519,7387,14906,OCHA
Mali,ML,Mopti,ML05,Youwarou,ML0508,Bimbere Tama,ML050801,2017,5519,5182,10701,OCHA
Mali,ML,Mopti,ML05,Tenenkou,ML0507,Tenenkou Commune,ML050708,2017,7376,7267,14643,OCHA
Mali,ML,Mopti,ML05,Tenenkou,ML0507,Toguere-Coumbe,ML050710,2017,18254,17564,35818,OCHA
Mali,ML,Mopti,ML05,Tenenkou,ML0507,Togoro Kotia,ML050709,2017,9088,8648,17736,OCHA
Mali,ML,Mopti,ML05,Tenenkou,ML0507,Sougoulbe,ML050707,2017,6342,5679,12021,OCHA
Mali,ML,Mopti,ML05,Tenenkou,ML0507,Diondiori,ML050703,2017,13476,13141,26617,OCHA
Mali,ML,Mopti,ML05,Tenenkou,ML0507,Diaka,ML050702,2017,12766,12537,25303,OCHA
Mali,ML,Tombouctou,ML06,Niafunke,ML0604,Dianke,ML060402,2017,6857,6720,13577,OCHA
Mali,ML,Tombouctou,ML06,Niafunke,ML0604,Fittouga,ML060403,2017,19602,19513,39115,OCHA
Mali,ML,Tombouctou,ML06,Niafunke,ML0604,Koumaira,ML060404,2017,9273,9482,18755,OCHA
Mali,ML,Tombouctou,ML06,Niafunke,ML0604,Lere,ML060405,2017,11426,11229,22655,OCHA
Mali,ML,Tombouctou,ML06,Niafunke,ML0604,Soboundou,ML060407,2017,26284,26254,52538,OCHA
Mali,ML,Tombouctou,ML06,Niafunke,ML0604,Soumpi,ML060408,2017,10918,11108,22026,OCHA
Mali,ML,Tombouctou,ML06,Tombouctou,ML0605,Ber,ML060502,2017,11719,12931,24650,OCHA
Mali,ML,Sikasso,ML03,Bougouni,ML0301,Defina,ML030105,2017,5444,4973,10417,OCHA
Mali,ML,Tombouctou,ML06,Dire,ML0601,Dangha,ML060104,2017,8420,8351,16771,OCHA
Mali,ML,Tombouctou,ML06,Dire,ML0601,Haibongo,ML060107,2017,9288,9240,18528,OCHA
Mali,ML,Tombouctou,ML06,Dire,ML0601,Kirchamba,ML060108,2017,2638,2716,5354,OCHA
Mali,ML,Tombouctou,ML06,Dire,ML0601,Kondi,ML060109,2017,1953,2011,3964,OCHA
Mali,ML,Tombouctou,ML06,Dire,ML0601,Sareyamou,ML060110,2017,11084,10939,22023,OCHA
Mali,ML,Tombouctou,ML06,Dire,ML0601,Dire,ML060105,2017,13183,13247,26430,OCHA
Mali,ML,Tombouctou,ML06,Goundam,ML0602,Tilemsi,ML060214,2017,4516,5090,9606,OCHA
Mali,ML,Tombouctou,ML06,Goundam,ML0602,Bintagoungou,ML060203,2017,5520,5283,10803,OCHA
Mali,ML,Tombouctou,ML06,Goundam,ML0602,Douekire,ML060204,2017,11821,11695,23516,OCHA
Mali,ML,Tombouctou,ML06,Goundam,ML0602,Essakane,ML060206,2017,7191,7570,14761,OCHA
Mali,ML,Tombouctou,ML06,Goundam,ML0602,Kaneye,ML060210,2017,1514,1516,3030,OCHA
Mali,ML,Tombouctou,ML06,Goundam,ML0602,M'bouna,ML060211,2017,2517,2461,4978,OCHA
Mali,ML,Tombouctou,ML06,Goundam,ML0602,Razelma,ML060212,2017,2698,3017,5715,OCHA
Mali,ML,Kayes,ML01,Kenieba,ML0104,Dombia,ML010404,2017,5092,4757,9849,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Souransan Tomoto,ML010531,2017,5660,5408,11068,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Sefeto Nord,ML010527,2017,7967,7047,15014,OCHA
Mali,ML,Sikasso,ML03,Yanfolila,ML0306,Koussan,ML030607,2017,6590,6649,13239,OCHA
Mali,ML,Kayes,ML01,Kita,ML0105,Kita Nord,ML010514,2017,5497,5633,11130,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Koniakary,ML010315,2017,5300,5275,10575,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Marintoumania,ML010320,2017,5274,5197,10471,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Marena Diombougou,ML010319,2017,12570,11687,24257,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Khouloum,ML010314,2017,12030,12645,24675,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Karakoro,ML010311,2017,10094,9660,19754,OCHA
Mali,ML,Sikasso,ML03,Bougouni,ML0301,Kouroulamini,ML030115,2017,4127,3985,8112,OCHA
Mali,ML,Sikasso,ML03,Bougouni,ML0301,Faradiele,ML030108,2017,1739,1753,3492,OCHA
Mali,ML,Segou,ML04,Baroueli,ML0401,Dougoufie,ML040103,2017,6130,5899,12029,OCHA
Mali,ML,Segou,ML04,Segou,ML0406,Sama Foulala,ML040622,2017,4717,4418,9135,OCHA
Mali,ML,Sikasso,ML03,Sikasso,ML0305,Benkadi,ML030501,2017,5312,5034,10346,OCHA
Mali,ML,Kayes,ML01,Kayes,ML0103,Gory Gopela,ML010307,2017,5101,5117,10218,OCHA
Mali,ML,Kayes,ML01,Diema,ML0102,Sansankide,ML010215,2017,3297,3163,6460,OCHA
Mali,ML,Kayes,ML01,Diema,ML0102,Guedebine,ML010211,2017,3298,3312,6610,OCHA
Mali,ML,Kayes,ML01,Diema,ML0102,Groumera,ML010210,2017,7875,7089,14964,OCHA
Mali,ML,Kayes,ML01,Diema,ML0102,Gomitradougou,ML010209,2017,4752,4726,9478,OCHA
Mali,ML,Kayes,ML01,Diema,ML0102,Fassou Debe,ML010207,2017,3646,3459,7105,OCHA
Mali,ML,Kayes,ML01,Diema,ML0102,Lambidou,ML010213,2017,10082,9133,19215,OCHA
Mali,ML,Kayes,ML01,Yelimane,ML0107,Soumpou,ML010710,2017,3233,3071,6304,OCHA
Mali,ML,Kayes,ML01,Yelimane,ML0107,Marekaffo,ML010709,2017,3667,3249,6916,OCHA
Mali,ML,Kayes,ML01,Yelimane,ML0107,Gory,ML010704,2017,8405,7965,16370,OCHA
Mali,ML,Kayes,ML01,Yelimane,ML0107,Diafounou Diongaga,ML010701,2017,6515,6057,12572,OCHA
Mali,ML,Kayes,ML01,Nioro,ML0106,Youri,ML010616,2017,4891,4353,9244,OCHA
Mali,ML,Kayes,ML01,Nioro,ML0106,Troungoumbe,ML010614,2017,8453,7770,16223,OCHA
Mali,ML,Kayes,ML01,Nioro,ML0106,Nioro Tougoune Ranga,ML010611,2017,8822,8327,17149,OCHA
Mali,ML,Kayes,ML01,Nioro,ML0106,Kadiaba Kadiel,ML010608,2017,6422,6472,12894,OCHA
Mali,ML,Kayes,ML01,Nioro,ML0106,Diaye Coura,ML010604,2017,9303,8517,17820,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Sangarebougou,ML020432,2017,30105,31210,61315,OCHA
Mali,ML,Segou,ML04,Segou,ML0406,Farako,ML040610,2017,7905,7387,15292,OCHA
Mali,ML,Tombouctou,ML06,Tombouctou,ML0605,Alafia,ML060501,2017,8512,8268,16780,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Dialakorodji,ML020408,2017,30727,30969,61696,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Diago,ML020406,2017,6139,6089,12228,OCHA
Mali,ML,Koulikouro,ML02,Kati,ML0204,Dombila,ML020412,2017,8953,8524,17477,OCHA
Mali,ML,Segou,ML04,Segou,ML0406,Sebougou,ML040625,2017,10809,10302,21111,OCHA
Mali,ML,Segou,ML04,Segou,ML0406,Diganibougou,ML040606,2017,10184,10109,20293,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,N'golonianasso,ML030422,2017,13327,12399,25726,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,Fagui,ML030403,2017,7306,6918,14224,OCHA
Mali,ML,Sikasso,ML03,Sikasso,ML0305,Tella,ML030538,2017,5078,4804,9882,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Wacoro,ML020222,2017,9821,9667,19488,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Diouman,ML020207,2017,12370,12544,24914,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Kilidougou,ML020214,2017,10303,9845,20148,OCHA
Mali,ML,Sikasso,ML03,Kolondieba,ML0303,N'golodiana,ML030310,2017,4700,4227,8927,OCHA
Mali,ML,Sikasso,ML03,Bougouni,ML0301,Syen Toula,ML030121,2017,6185,6098,12283,OCHA
Mali,ML,Sikasso,ML03,Yanfolila,ML0306,Tagandougou,ML030610,2017,9856,9775,19631,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,Sinkolo,ML030427,2017,8260,7869,16129,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Dolendougou,ML020208,2017,9600,8875,18475,OCHA
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Benkadi,ML020202,2017,5311,4951,10262,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,Fakolo,ML030404,2017,7506,7114,14620,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,Gouadji Kao,ML030406,2017,8902,8543,17445,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,Karagouana Malle,ML030409,2017,4835,4725,9560,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,Koningue,ML030412,2017,10778,10160,20938,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,Logouana,ML030417,2017,5628,5286,10914,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,Nafanga,ML030420,2017,5851,5573,11424,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,Nampe,ML030421,2017,3177,3092,6269,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,N'goutjina,ML030423,2017,12802,12629,25431,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,Sincina,ML030426,2017,12569,12174,24743,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,Songo Doubacoro,ML030428,2017,9763,9412,19175,OCHA
Mali,ML,Sikasso,ML03,Koutiala,ML0304,Sorobasso,ML030430,2017,3788,3637,7425,OCHA
