Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,homme,femme,total,source
Mali,ML,Koulikouro,ML02,Kati,ML0204,Dombila,ML020412,1998,5128,5091,10219,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Doubabougou,ML020413,1998,3007,3148,6155,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Kalabancoro,ML020415,1998,17982,17600,35582,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Kalifabougou,ML020416,1998,5513,5588,11101,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Kambila,ML020417,1998,4884,4900,9784,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Kati Commune,ML020418,1998,25700,27014,52714,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Kourouba,ML020419,1998,2488,2472,4960,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Mande,ML020420,1998,15470,15107,30577,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Moribabougou,ML020421,1998,2638,2739,5377,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Mountougoula,ML020422,1998,5127,5131,10258,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,N'gabacoro,ML020423,1998,3120,2875,5995,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,N'gouraba,ML020424,1998,6279,6140,12419,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Niagadina,ML020425,1998,4186,4312,8498,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Nioumakana,ML020426,1998,3045,3199,6244,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,N'tjiba,ML020427,1998,8608,8664,17272,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Ouelessebougou,ML020428,1998,18057,18141,36198,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Safo,ML020429,1998,3916,4007,7923,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Sanankoro Djitoumou,ML020430,1998,11165,11086,22251,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Sanankoroba,ML020431,1998,5012,5130,10142,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Sangarebougou,ML020432,1998,4026,4020,8046,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Siby,ML020433,1998,9033,9117,18150,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Sobra,ML020434,1998,3359,3497,6856,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Tiakadougou Dialakoro,ML020435,1998,2673,2696,5369,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Tiele,ML020436,1998,7419,7452,14871,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Yelekebougou,ML020437,1998,5242,5126,10368,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Ben Kadi,ML020102,1998,5855,5935,11790,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Didieni,ML020501,1998,12348,13073,25421,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Guihoyo,ML020502,1998,7313,7604,14917,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Kolokani,ML020503,1998,16332,17226,33558,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Massantola,ML020504,1998,14148,14953,29101,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Nonkon,ML020505,1998,7157,7586,14743,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Nossombougou,ML020506,1998,8480,8893,17373,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Ouolodo,ML020507,1998,4522,4806,9328,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Sagabala,ML020508,1998,7394,7864,15258,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Sebecoro 1,ML020509,1998,7279,7774,15053,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Tioribougou,ML020510,1998,4913,5240,10153,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Allahina,ML020701,1998,3943,4178,8121,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Dabo,ML020702,1998,3225,3416,6641,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Dilly,ML020703,1998,14802,13880,28682,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Dogofry,ML020704,1998,11591,12786,24377,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Fallou,ML020705,1998,10329,11148,21477,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Gueneibe,ML020706,1998,3046,3211,6257,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Guire,ML020707,1998,4862,4712,9574,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Koronga,ML020708,1998,3996,3921,7917,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Nara,ML020709,1998,9572,10221,19793,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Niamana,ML020710,1998,10483,10722,21205,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Ouagadou,ML020711,1998,6241,6498,12739,RGPH
Mali,ML,Sikasso,ML03,Kadiolo,ML0302,Diou,ML030201,1998,1386,1442,2828,RGPH
Mali,ML,Sikasso,ML03,Kadiolo,ML0302,Dioumatene,ML030202,1998,3319,3301,6620,RGPH
Mali,ML,Sikasso,ML03,Kadiolo,ML0302,Fourou,ML030203,1998,10797,10492,21289,RGPH
Mali,ML,Sikasso,ML03,Kadiolo,ML0302,Kadiolo,ML030204,1998,15398,15894,31292,RGPH
Mali,ML,Sikasso,ML03,Kadiolo,ML0302,Kai,ML030205,1998,3313,3643,6956,RGPH
Mali,ML,Sikasso,ML03,Kadiolo,ML0302,Loulouni,ML030206,1998,13722,14396,28118,RGPH
Mali,ML,Sikasso,ML03,Kadiolo,ML0302,Misseni,ML030207,1998,6148,6528,12676,RGPH
Mali,ML,Sikasso,ML03,Kadiolo,ML0302,Nimbougou,ML030208,1998,2256,2349,4605,RGPH
